issue_id,claim,evidence_status,source_path,code_location_or_run_id,observed_result,required_action
ISSUE-01,"3,200건 중 결측 및 매칭 실패로 320건이 제외되어 2,880건 추출됨",불일치,D:\paper\b\data\raw\csv_tables\,"training/tn_travel.csv (2560행), validation/tn_travel.csv (320행)","제공된 원천 CSV 행 수 합계가 정확히 2,880건임. 320건 누락이 아니라 제공된 원천 전수가 100% 반영됨.","'320건 결측 제외' 주장을 삭제하고, AI-Hub 제공 원천(TL 2560건 + VL 320건 = 2880건) 100% 정제 반영 사실로 수정 기술"
ISSUE-02,"총지출액은 활동 소비와 사전 예약금만 합산하고 숙박·이동비는 누락/중복 우려로 제외됨",불일치,D:\paper\b\src\data\travel_dataset.py,lines 35-44: total_exp = act_sum + lod_sum + mvm_sum + adv_sum,"활동(ACT) + 숙박(LOD) + 이동(MVM) + 사전(ADV) 4개 테이블 전수 합산 확인. 계산값 차이(Diff) 0.0원.","'숙박·이동 제외' 주장을 정정하고, 4개 항목(활동+숙박+이동+사전결제)을 체계적으로 합산한 관측 총소비액으로 명시"
ISSUE-03,"데이터셋이 15열 vs 18열로 불일치하며 사후 변수 포함 여부 불투명",직접 확인,D:\paper\b\data\processed\real_travel_dataset.csv,"CSV 18열, ml_pipeline.py lines 79-94 feature_cols 14개","14개 사전 입력 + 1개 타깃 + 3개 사후 변수(방문지수, 체류시간, 만족도) = 총 18열 확인. 모델에는 14개만 명시적 allowlist로 투입됨.","18열 구조를 투명하게 공개하고, 사후 변수 3개는 누수 방지를 위해 모델 입력에서 100% 배제되었음을 명시"
ISSUE-04,"동일 여행자 반복 기록으로 인한 데이터 분할 간 누수 가능성",직접 확인,D:\paper\b\data\raw\csv_tables\,tn_travel.csv & tn_traveller_master.csv,"2,880건 여행의 TRAVELER_ID는 2,880명 고유(Unique)함. 복수 여행 여행자 0명.","여행자 수준의 종단 반복 측정 데이터 누수가 없음을 확인하고, 그룹 분할 없이도 독립 표본임을 명시"
ISSUE-05,"테스트 데이터는 5단계에서 최초 1회만 언락되었다고 주장하나 2단계에서 이미 평가됨",직접 확인,D:\paper\b\src\models\ml_pipeline.py,lines 141-164 execute_split_comparison(),"2단계 2분할 평가 시 X_te_2(테스트 세트 576건)에 대해 RF 평가를 수행한 이력이 코드와 원고에 존재함.","지시서 제5.3조(경로 B)에 따라 기존 테스트 결과를 legacy/exploratory로 분류하고, 2단계 비교는 개발용 평가 세트(H)를 활용한 내부 비교로 재설계"
ISSUE-06,"max_depth=3에서 num_leaves=15, 31, 63은 중복 탐색임",직접 확인,D:\paper\b\src\models\ml_pipeline.py,lines 270-275 param_grid,"이진 트리 깊이 3의 최대 리프 수는 2^3=8이므로 15, 31, 63에서 트리가 동일하게 8개 이하로 제한됨.","유효 자유도 한계를 인정하고, 중복 후보군 정리 및 깊이와 리프 간 종속성을 본문에 명확히 서술"
ISSUE-07,"튜닝 후 Test RMSE가 235,074원에서 236,844원으로 유지되었다고 서술함",직접 확인,D:\paper\20260911\05_최종_성능_평가.md,"RMSE 1,770원 증가 (+0.75%), MAE 8,223원 감소 (-5.49%)",실제 수치는 RMSE 증가 및 MAE 감소임. '유지'라는 주관적 완곡 표현은 부적절함.,"RMSE는 소폭 증가하고 MAE는 대폭 감소했음을 있는 그대로 정직하게 보고하고, L2 손실함수와 이상치 민감도 차이로 해석"
ISSUE-08,"Yeo-Johnson과 1% 윈저화 스케일러를 '2025 SOTA'라고 과장 명명",직접 확인,D:\paper\b\src\models\ml_pipeline.py & 04_데이터_스케일링_및_이유설명.md,"lines 193-195: [2025 SOTA], [2025 변환] 주석","Yeo-Johnson(2000년)과 윈저화는 고전 통계 기법임. '2025 SOTA' 수식어는 학술적 과장임.","'2025 SOTA' 수식어를 전면 삭제하고, '비모수적 분위수 변환 및 이상치 완화 기법'으로 객관화"
ISSUE-09,"집단 평균 오차(5천원)와 개인별 예측 오차(MAE 7만~16만원)의 혼동",직접 확인,D:\paper\20260911\05_최종_성능_평가.md,여행 기간별 실증 표,"1박2일 집단 평균 편향(Mean Bias)은 +5,910원이나 개별 샘플 MAE는 70,667원임.","집단 평균 편향(Mean Bias)과 개인별 평균 오차(MAE)를 별도 컬럼으로 분리 표기하여 착시 제거"
ISSUE-10,"순수 성향(8개)만으로 지출액의 51.8%를 설명한다는 과장된 주장",직접 확인,D:\paper\20260911\01_데이터셋_획득_및_문제정의.md,"X 14개 변수 구성: 성향 8개 + 인구통계 3개 + 여행계획 3개","14개 변수 전체가 투입된 결과이며, 여행일수·동반자수·사전결제액의 기여도가 큼.","연구 질문을 '사전 성향 + 인구통계 프로필 + 계획 정보'의 결합 예측으로 객관화하고 변수 제거 실험(Ablation) 수행"
