GENDER,AGE,INCOME_LEVEL,TRAVEL_DAYS,COMPANION_CNT,VISITED_POI_CNT,AVG_STAY_TIME,MAIN_TRANSPORT,ADV_CONSUME_KRW,PREF_NATURE,PREF_ACTIVITY,PREF_GOURMET,PREF_REST,TOTAL_EXPENDITURE
0,30,3,1,1,2,87.4,2,8500.0,5,5,5,1,222400.0
1,31,2,2,0,8,41.7,0,3500.0,3,5,3,3,466900.0
1,23,2,1,1,6,80.8,0,46700.0,4,4,1,1,509200.0
1,50,3,4,1,16,129.4,0,20100.0,1,2,2,3,1428400.0
0,42,3,2,1,2,59.5,0,20000.0,4,5,4,2,273100.0
0,47,4,3,0,9,35.3,1,5500.0,4,3,3,3,532800.0
0,57,4,1,1,1,115.6,0,1000.0,2,5,1,1,147000.0
1,47,3,2,1,10,55.7,0,106400.0,5,2,3,1,704400.0
1,35,2,1,0,3,30.5,1,41100.0,4,1,1,2,167000.0
1,35,2,4,3,8,56.9,0,125500.0,5,3,1,1,1405300.0
0,24,2,1,0,4,97.8,0,17400.0,3,5,3,5,166100.0
1,48,3,2,3,8,103.5,1,23600.0,1,1,1,1,1732700.0
1,23,1,2,0,12,102.0,1,123000.0,1,1,1,5,422700.0
0,46,2,1,3,3,52.3,0,17100.0,3,4,4,1,448500.0
0,20,2,2,0,4,119.6,0,113300.0,2,2,2,1,324500.0
0,28,1,4,2,1,113.9,0,38000.0,3,4,5,2,639100.0
0,26,1,1,1,3,105.1,0,6800.0,3,2,4,5,238400.0
1,28,2,2,2,6,51.3,0,20600.0,2,1,5,2,997500.0
1,46,3,1,1,4,67.2,1,1000.0,2,5,5,5,432900.0
0,41,4,2,0,6,99.9,0,50300.0,4,2,2,5,365800.0
1,35,2,2,2,8,109.1,2,176300.0,5,2,4,4,1315500.0
0,23,1,1,0,1,53.4,1,15600.0,1,1,1,5,117200.0
0,22,1,1,3,1,150.1,0,5900.0,2,3,2,2,169100.0
0,21,3,2,0,6,84.1,0,400.0,2,1,1,2,281600.0
1,25,2,1,1,2,122.1,1,9000.0,4,1,1,3,272100.0
1,57,4,1,2,3,45.4,1,300.0,4,2,1,1,548600.0
0,25,1,2,1,4,96.1,2,22700.0,5,1,1,4,365800.0
1,38,3,1,1,3,44.6,0,4200.0,2,4,4,1,319700.0
1,24,2,1,2,3,94.2,0,1800.0,2,1,5,2,164800.0
0,21,2,2,2,1,105.1,2,82700.0,4,5,5,4,595500.0
1,37,2,1,3,1,107.1,0,9700.0,3,1,4,5,186600.0
0,38,3,1,1,2,63.1,1,800.0,5,1,5,2,200300.0
0,23,1,1,1,4,25.3,0,32200.0,2,5,2,2,200700.0
1,25,1,2,1,6,100.2,1,142500.0,1,3,1,2,569400.0
1,37,2,2,1,1,75.0,0,394300.0,1,3,1,2,539000.0
1,28,3,2,2,10,75.0,1,43000.0,4,3,1,4,1185800.0
0,24,1,1,1,3,56.7,0,24500.0,1,4,3,1,281300.0
0,55,4,1,1,2,87.1,2,14300.0,4,5,2,1,259300.0
1,33,3,1,1,2,88.8,0,3400.0,3,4,3,5,192000.0
1,34,2,1,2,2,125.9,0,1800.0,4,4,4,2,282000.0
0,36,3,3,3,3,20.0,0,222600.0,2,4,3,2,957800.0
1,38,3,1,2,1,42.7,2,4000.0,1,5,5,1,1776300.0
0,35,1,1,1,5,105.0,0,300.0,2,2,5,5,1451100.0
1,45,5,1,2,5,20.0,0,15400.0,1,2,2,3,425500.0
0,47,4,2,1,1,63.7,0,22000.0,1,3,3,4,324200.0
1,23,2,2,0,2,172.1,0,15300.0,4,4,3,1,188500.0
0,32,3,2,0,4,79.2,0,78600.0,5,3,1,4,387300.0
1,36,3,2,0,4,113.4,0,82100.0,1,4,2,1,399500.0
1,54,3,2,1,8,30.1,1,38300.0,1,3,1,5,799300.0
0,41,3,1,2,2,113.5,0,9500.0,5,1,2,2,287600.0
1,31,3,1,1,5,75.7,0,23300.0,2,5,2,3,377500.0
1,25,1,2,1,6,99.1,1,146800.0,1,4,3,4,770100.0
1,37,1,2,3,4,108.4,2,84500.0,4,4,1,3,786600.0
1,20,2,2,2,8,70.9,1,27600.0,5,4,4,2,620100.0
1,35,3,2,2,8,106.0,0,98700.0,5,5,1,1,939500.0
1,21,1,2,1,4,49.7,0,8600.0,1,1,4,5,338500.0
0,41,4,3,0,1,90.8,0,8400.0,2,2,5,2,263900.0
0,26,2,2,0,10,107.2,0,159500.0,2,5,2,3,425700.0
0,30,2,2,0,4,70.1,0,6000.0,3,1,1,3,236300.0
0,55,5,1,1,3,55.3,2,3000.0,3,3,2,3,244200.0
0,26,1,2,1,1,73.0,0,29600.0,4,4,1,1,260400.0
0,37,2,3,0,15,127.1,0,6600.0,1,4,5,3,432400.0
1,36,2,1,0,3,121.7,0,12000.0,2,2,1,1,133100.0
0,25,1,2,0,6,115.6,0,153600.0,3,3,5,3,316400.0
0,48,3,2,1,2,142.8,0,39500.0,1,1,2,4,358000.0
1,22,2,1,1,6,90.2,0,11900.0,1,3,3,4,255700.0
0,35,3,2,1,4,96.2,0,46500.0,2,3,4,2,455100.0
1,33,2,1,1,4,20.2,0,17900.0,1,2,2,2,232500.0
0,31,3,3,1,9,58.1,2,21200.0,5,1,3,5,1236000.0
